0.1	2.51	3.31	4.85	2.51	2.52	2.53	0.334	0.473	0.731	6.42	8.28	11.7
0.2	2.59	3.37	4.81	2.59	2.63	2.66	0.483	0.603	0.809	3.46	4.27	5.66
0.3	2.68	3.44	4.8	2.68	2.75	2.81	0.607	0.715	0.889	2.49	2.96	3.72
0.4	2.78	3.53	4.82	2.78	2.88	2.98	0.72	0.823	0.977	2.02	2.32	2.77
0.5	2.88	3.62	4.83	2.88	3.01	3.14	0.827	0.929	1.07	1.74	1.93	2.22
0.6	2.98	3.72	4.91	2.98	3.14	3.31	0.93	1.03	1.18	1.56	1.68	1.86
0.7	3.09	3.81	4.97	3.09	3.28	3.48	1.03	1.14	1.29	1.43	1.5	1.6
0.8	3.19	3.91	5.05	3.19	3.41	3.65	1.13	1.25	1.4	1.34	1.37	1.42
0.9	3.29	4.01	5.12	3.29	3.54	3.82	1.23	1.36	1.51	1.27	1.27	1.27
1	3.4	4.12	5.2	3.4	3.67	3.98	1.33	1.47	1.63	1.21	1.19	1.16
0.9	3.51	4.22	5.3	3.51	3.81	4.16	1.44	1.59	1.77	1.16	1.11	1.06
0.8	3.65	4.36	5.42	3.65	3.99	4.39	1.58	1.75	1.94	1.1	1.04	0.954
0.7	3.82	4.54	5.58	3.82	4.21	4.67	1.76	1.95	2.18	1.05	0.965	0.852
0.6	4.06	4.78	5.8	4.06	4.5	5.04	2.01	2.23	2.5	1.01	0.892	0.751
0.5	4.37	5.1	6.11	4.37	4.9	5.56	2.35	2.62	2.96	0.958	0.819	0.65
0.4	4.84	5.57	6.57	4.84	5.48	6.31	2.88	3.24	3.7	0.912	0.747	0.549
0.3	5.57	6.34	7.34	5.57	6.4	7.51	3.79	4.32	5.01	0.868	0.674	0.446
0.2	6.96	7.78	8.82	6.96	8.14	9.79	5.72	6.63	7.89	0.828	0.601	0.341
0.1	10.7	11.7	12.9	10.7	12.8	16	12.2	14.6	18	0.795	0.526	0.228
